PercPrey-Ini,PercPred-Ini,PercPrey-Final,PercPred-Final
0.03,0.48,0.006124999839812517,0.0066999997943639755
0.03,0.49,0.008550000376999378,0.009575000032782555
0.03,0.5,0.008674999698996544,0.011149999685585499
0.03,0.51,0.009975000284612179,0.009949999861419201
0.03,0.52,0.01192499976605177,0.01209999993443489
0.03,0.53,0.005425000097602606,0.006850000005215406
0.03,0.54,0.009600000455975533,0.009700000286102295
0.03,0.55,0.005574999842792749,0.00634999992325902
0.03,0.56,0.011850000359117985,0.014299999922513962
0.03,0.5700000000000001,0.007424999959766865,0.009349999949336052
0.03,0.58,0.006149999797344208,0.007350000087171793
0.03,0.59,0.01140000019222498,0.01295000035315752
0.03,0.6,0.009999999776482582,0.012299999594688416
0.03,0.61,0.009074999950826168,0.008299999870359898
0.03,0.62,0.01807500049471855,0.015049999579787254
0.03,0.63,0.008875000290572643,0.010874999687075615
0.03,0.64,0.010075000114738941,0.010374999605119228
0.03,0.65,0.010324999690055847,0.0071000000461936
0.03,0.66,0.010300000198185444,0.010575000196695328
0.03,0.67,0.010975000448524952,0.00930000003427267
0.03,0.68,0.013150000013411045,0.011599999852478504
0.03,0.6900000000000001,0.016349999234080315,0.011350000277161598
0.03,0.7000000000000001,0.010300000198185444,0.009499999694526196
0.03,0.71,0.009549999609589577,0.00860000029206276
0.03,0.72,0.013825000263750553,0.01209999993443489
0.03,0.73,0.011900000274181366,0.011149999685585499
